Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume
1.61888E+12,4/20/2021 0:02,BTCUSD,55717.47,55723,55541.69,55541.69,2.406733604
1.61888E+12,4/20/2021 0:01,BTCUSD,55768.94,55849.82,55711.74,55717.47,0.5734577
1.61888E+12,4/20/2021 0:00,BTCUSD,55691.79,55793.15,55691.79,55768.94,3.309903747
1.61888E+12,4/19/2021 23:59,BTCUSD,55777.86,55777.86,55677.92,55691.79,0.68493443
1.61888E+12,4/19/2021 23:58,BTCUSD,55803.5,55823.88,55773.08,55777.86,0.477224563
1.61888E+12,4/19/2021 23:57,BTCUSD,55690.64,55822.91,55682.56,55803.5,5.46171654
1.61888E+12,4/19/2021 23:56,BTCUSD,55624.69,55713.02,55624.63,55690.64,0.696310659
1.61888E+12,4/19/2021 23:55,BTCUSD,55651.82,55675.92,55621.58,55624.69,0.47016148
1.61888E+12,4/19/2021 23:54,BTCUSD,55688.08,55730.21,55641.4,55651.82,0.45672227
1.61888E+12,4/19/2021 23:53,BTCUSD,55749.28,55749.28,55688.08,55688.08,0.28641922
1.61888E+12,4/19/2021 23:52,BTCUSD,55704.59,55759.27,55695.42,55749.28,0.52427084
1.61888E+12,4/19/2021 23:51,BTCUSD,55779.38,55779.38,55688.66,55704.59,0.76722776
1.61888E+12,4/19/2021 23:50,BTCUSD,55816.61,55835.57,55769.46,55779.38,3.533437971
1.61888E+12,4/19/2021 23:49,BTCUSD,55843.69,55863.89,55797.08,55816.61,0.58663111
1.61888E+12,4/19/2021 23:48,BTCUSD,55880.12,55916.47,55815.99,55843.69,6.05982841
1.61888E+12,4/19/2021 23:47,BTCUSD,55890.88,55918.87,55826.84,55880.12,0.137560993
1.61888E+12,4/19/2021 23:46,BTCUSD,55887.36,55892.99,55861.68,55890.88,0.21195796
1.61888E+12,4/19/2021 23:45,BTCUSD,55748.47,55905,55748.47,55887.36,0.15740777
1.61888E+12,4/19/2021 23:44,BTCUSD,55859.79,55859.79,55725.8,55748.47,1.81944885
1.61888E+12,4/19/2021 23:43,BTCUSD,55770.34,55859.79,55770.34,55859.79,0.76952579
1.61888E+12,4/19/2021 23:42,BTCUSD,55733.87,55784.29,55727.33,55770.34,1.926222234
1.61888E+12,4/19/2021 23:41,BTCUSD,55733.44,55733.87,55651.65,55733.87,0.67901809
1.61888E+12,4/19/2021 23:40,BTCUSD,55709.64,55789.43,55709.64,55733.44,2.04317603
1.61888E+12,4/19/2021 23:39,BTCUSD,55826.46,55826.46,55709.64,55709.64,2.18454263
1.61888E+12,4/19/2021 23:38,BTCUSD,55931.36,55931.36,55826.46,55826.46,1.15783506
1.61888E+12,4/19/2021 23:37,BTCUSD,55829.23,55931.36,55815.02,55931.36,2.30551045
1.61888E+12,4/19/2021 23:36,BTCUSD,55771.88,55871.22,55754.84,55829.23,1.94531415
1.61888E+12,4/19/2021 23:35,BTCUSD,55763.48,55811.41,55725.52,55771.88,3.56937825
1.61888E+12,4/19/2021 23:34,BTCUSD,55669.36,55776.35,55669.36,55763.48,3.721432334
1.61888E+12,4/19/2021 23:33,BTCUSD,55692.41,55748.24,55667.18,55669.36,6.09178245
1.61888E+12,4/19/2021 23:32,BTCUSD,55693,55748.29,55651.38,55692.41,2.15372352
1.61888E+12,4/19/2021 23:31,BTCUSD,55618.18,55739.97,55617.68,55693,1.866298072
1.61888E+12,4/19/2021 23:30,BTCUSD,55621.81,55726.88,55618.18,55618.18,2.11922981
1.61887E+12,4/19/2021 23:29,BTCUSD,55622.25,55735.33,55619.34,55621.81,5.04483106
1.61887E+12,4/19/2021 23:28,BTCUSD,55636.47,55639.24,55617.18,55622.25,2.162904595
1.61887E+12,4/19/2021 23:27,BTCUSD,55787.3,55787.3,55626.26,55636.47,4.746355558
1.61887E+12,4/19/2021 23:26,BTCUSD,55807,55858.9,55777.03,55787.3,1.968116816
1.61887E+12,4/19/2021 23:25,BTCUSD,55862.62,55888.32,55807,55807,0.35369932
1.61887E+12,4/19/2021 23:24,BTCUSD,55898.65,55898.65,55853.4,55862.62,0.32991896
1.61887E+12,4/19/2021 23:23,BTCUSD,55922.51,55922.51,55861.85,55898.65,0.90869082
1.61887E+12,4/19/2021 23:22,BTCUSD,55873.32,55983.24,55873.32,55922.51,0.54277539
1.61887E+12,4/19/2021 23:21,BTCUSD,55941.78,55943.33,55863.17,55873.32,0.30071598
1.61887E+12,4/19/2021 23:20,BTCUSD,55924.78,56015.47,55924.78,55941.78,1.16764762
1.61887E+12,4/19/2021 23:19,BTCUSD,55979.8,56002.57,55924.78,55924.78,0.427220839
1.61887E+12,4/19/2021 23:18,BTCUSD,56057.59,56057.6,55979.79,55979.8,1.43667475
1.61887E+12,4/19/2021 23:17,BTCUSD,56069.95,56069.95,56011.36,56057.59,0.155485262
1.61887E+12,4/19/2021 23:16,BTCUSD,56035.42,56097.14,55994.64,56069.95,0.71699
1.61887E+12,4/19/2021 23:15,BTCUSD,56055.74,56055.74,56035.42,56035.42,0.48495928
1.61887E+12,4/19/2021 23:14,BTCUSD,56057.16,56101.9,56035.42,56055.74,1.64786636
1.61887E+12,4/19/2021 23:13,BTCUSD,56144.29,56144.29,56057.16,56057.16,0.596992605
1.61887E+12,4/19/2021 23:12,BTCUSD,56195.38,56195.38,56100,56144.29,5.179757195
1.61887E+12,4/19/2021 23:11,BTCUSD,56238.26,56242.5,56111.27,56195.38,1.30698776
1.61887E+12,4/19/2021 23:10,BTCUSD,56118.23,56238.26,56118.23,56238.26,3.1325546
1.61887E+12,4/19/2021 23:09,BTCUSD,56105.55,56119.66,56078.2,56118.23,0.44687963
1.61887E+12,4/19/2021 23:08,BTCUSD,56049.75,56109.03,56042.88,56105.55,1.59421489